review,rating,date
Worst app and bad customer support. Response or solution is not given. I have installed pocket app some years ago. Recently I had my salaried account in bank. Now they are not able to add my phone number because of the unused pocket app. I cannot use my atm card for online service and my internet banking is also not working. Customer care is denying to delete  pockets app. They  are suggesting to change my salary account to different bank or I should purchase a different sim or phone number. Such a great bank is bank. The app doesn’t show any closure of pockets account. Customer care and bank employees could not locate where is closing link. But they say I should close from my mobile only. I am planning close my salaried account if the issue will not be resolved in a week.,1,30/11/18 17:15
"Indeed, new updated version looks really good however I am bit concerned about the verification of mobile number again if the no mobile range is available e.g. in my house there is no coverage for Airtel but I do have Wifi. I need to go outside home every time to verify mobile if I open app while I am in house. 

I think, mobile verification shall be done once or shall be done if mobile power ON/off. 

Please check and reconsider for update.",5,02/07/21 5:32
I’d recharged my dongle using bank and I did not receive data I waited for 24 hrs still dint receive anything when I called Jio they mentioned we dint receive any credit from bank when I called bank bank and sent numerous mails they dint even bother to look into the screenshots that I sent and they kept claiming that I have received  the credit and again after 24 hrs I had to spend money and recharge and I feel by far bank is the worst bank and worstest customer service ever,5,29/06/21 15:02
"In many years, no other mobile  banking application has come up to i mobile level.  most user friendly, secure and can do countless banking activities on finger tip.  keep it up  the great work. 
the only irritation is when you try to submit a review and its not accept your name. trying to put all permutation and combination to go through but tried 5 names and all gone in vein. let me try another name, may b its successful and my comment get through.",5,04/05/21 13:20
Hi I am unable to use the tfr funds in the updated version of your app from  my iPhone 7plus ver 13.7  as I click on the icon to tfr fund a alert msg is shown saying “ ALERT PL TRY AGAIN “ and the screen goes blank and I have to close the screen by swiping to close the app and open again the app by logging in. Pl rectify as it’s causing me lots of inconvenience as on speaking to the customer service of the bank they said I will have to wait for the updated version of the app for the bug to be fixed as there were no of complaints from other users too regarding the same problem in the app.,2,22/09/20 23:50
"This app is really giving me a hard time. I restored my phone yesterday and after restoring, I installed the app again. The first step is to verify your mobile number in order to active the app. It send an sms from your mobile then it verifies your mobile number. 
Now my problem is it sends an sms from my mobile to verify but it fails to verify stating the reason that ‘The internet connection appears to be offline’. What the hell? My all apps and internet running just fine and this app is not able to verify my number because this stupid app is not able to find my internet connection.

Dear Developers, if you’re reading my review then please do something.. I have daily important tasks to do in this app..",1,09/09/18 7:35
I am using app for past 8 years never had this kind of worst experience but this is absurd that the application says “seems like SIM card not present in mobile for security reasons reactivate” . Why should I activate it again and again.? How does this app know that I don’t have SIM card in my mobile. When I am at my I won’t be having mobile network. So how your app will check whether SIM card is there or not ? If there is no network coverage your app assumes that there is no sim card. How smart the developers team. So if I am in a no network area and if I have internet access I cannot do transaction ? That is ridiculous. Please fix the bug. this is really bad which is frustrating.,1,01/06/21 2:26
The app is one of the finest mobile banking apps I have seen.. I actually bank with some other big private sector banks as well and can say clearly that this app is heads and shoulders above others.. the team has really been putting a lot of thought in understanding what the customers need.. everything is placed so perfectly and getting to all useful sections is so easy.. the user interface team needs to be lauded the most for such lovely looking screens with so much ease of use!! Great Job team bank.. keep it up !,5,04/01/19 7:10
"I don't get mobile metwork in my home and I work on wifi calling feature and app was working fine with my wifi but with this recent update, app is asking me to reactivate app after every login. First time I was okay and I stood in my balcony and reactivated my app and did my work but after some time when I was on my wifi with no mobile network, app again asked me to reactivate because it didn't detect my sim. But it was working fine before this update... please consider this. What is the point of mobile app if I have to reactivate every time??",3,31/05/21 13:12
"Hi Team,
I had this app since its inception but since yesterday i have been facing one issue wherein when i was opening app, it was crashing due to which i had to uninstall it.
Now when i reinstalled, it is not allowing for verfiy my account giving some error which doest not state the cause for it.
I had sent an email to the bank team as well, they asked me to register my mobile number again, i did tht as well but even after receiving confirmation from bank that my number has been registered, i’m not able to verify and still getting the same error which says ‘NSINVALIDARGUMENTEXCEPTION’ and the message is not showing the cause. Please resolve the issue. Thanks",1,09/08/20 9:14
"Hi Team,

I have been using this app since 3 years. Recently, I have used my debit card for scheduling my exam. There in the payment it was declining due to not setting international debit limit. I tried in debit card international limit screen and on submit It was showing error. I already reported appapps team through mail but not yet resolved. Instead they were telling me to try in internet banking but on login it was showing record does not exist. I tried multiple times but no luck. Please get the issue resolved ASAP.",3,27/12/20 2:44
The revamped UI is great but the reason for giving its one star is that every-time you open the app when there is no mobile network in your phone is asks to activate it again. Than you will have to go out to get network signal and activate it. And if you open it again in no network area you will have to repeat the activation process again. This is  very annoying and need immediate fix.,5,08/06/21 21:53
"The update which was made recently was awesome. The UI is excellent and the new options for debit, credit cards view, transaction list with clear details like account number & bank details everything was great. No one would expect anything better than this. But only problem that I had was searching for Sign-out option, I think it would be better if we have that on the home view instead of always making us to tap on ‘me’ option on action bar.",5,09/06/18 2:54
"Your app seriously need the option of paying the bill directly via app. The option is there but it doesn’t work. And the amount after being payed doesn’t reflect immediately like others. I’m still waiting for it to be updated and show the current updated balance. There were no information given for the first time users, i had to check out multiple websites to see whether my app is nt working or there are other ways to pay. Hope you get the feature in.",3,09/03/20 7:24
"In the new version,Iam faced so many issues,,, 
first-I can’t login the app in first time ,its take too many time ,,,first 3 or 4 times I can’t do it, it’s again loading &loading continuously,then the result is error ,,,finally after so many times trying ,then only I have to login the app ,
Next-I can’t see my balance for debit & credit ,,when I login the app even its loading &it’s show me the results by error for my every activities in the app ,,so I can’t do any activities in the app ,,
  Finally,Iam get irritated from yours updated  app, 
    Iam thinking about one decision,now I will delete the app ,in future I will install the app on ,when u release the new version app without any errors like reason for my today’s irritations.",1,02/09/18 13:40
"bank Bank  Isro layout, Bangalore branch.

1st problem with bank isro layout branch.....I went two days continuously they say Branch Manager not available so the staff can’t process my request.
When I insist this poor person don’t know the process.
After one hour of struggle on computer he asked me to go to Jaynagar 3rd block branch.

bank bank Jaynagar 3rd block branch.

In this I used get service from one Ms Keerti and I have called she never picks up phone.
One fine day she picks up the phone and asks me to take appointment from her.
I go to branch I meet one girl and she tries to call Keerti who never picks up the call and she assigns some one who also don’t have process knowledge and keeps referring on phone to some one.
And do you know what is the initial amount open savings bang account?
50 thousand rupees!
What is happening?
Any answer for your poor service?",5,12/11/19 5:24
"Hi Team ,

When we have 2 credit cards of shared limit, the available balance should be shown as per the spends based on 2 cards not on single card. We cannot add up the spends on each card to determine the available credit limit. This needs to be user friendly. Because of this I could not complete my transaction as limit was below that though both cards showed available limit above my transaction limit.",4,17/10/21 9:23
"Hey team, I’ve been using the bank mobile banking since 4 years with my iPhone and the experience is seamless and awesome.
However, bank mobile app was updated to the latest version (I guess its 5.1) 3/4 days back. I was unable to login to the application since then. I entered my credentials and tied clicking submit, but no response. I suspect the issue is with the submit button. I tried several times by clearing cache and rebooting my phone, but nothing worked. Is there anyway to fix this issue? Awaiting response.",4,19/01/20 10:55
After the new update whenever there is no network and phone goes to “no service” mode and if we tried signing in over WiFi I have to reactivate app again and again because the app gets signed out as security measure cause it detects no sin in emergency or no service mode even when the sim is still  there in phone. This wasn’t the case before. I have no network in my phone where I currently live so I am dependent on Wifi. Please fix it.,3,29/05/21 7:05
"I get bill and fine correctly in email, but unable to pay or view in the app. The customer service is not picking call, email response is that my email does not exist in their system! Wonder how my email works for them only for sending bill and not when needed.

Their customer service is pathetic and this app is buggy, it shows me a different address and the customer care says a different address. The customer service guys are so dumb that they say what comes to their mind, I get different dumb solutions from different people and nothing works. This is sick! I will deactivate my account. Federal bank is the best.",1,15/12/20 14:10
"Gone are those days when i used to say bank mobile application is the best in the market when it comes to Banking Applications but i am so sorry to tell you that you have turned pathetic after your recent update. 
Almost every time it logs out in between or comes out of the current screen with Unable to .............. error . 100% payee add failure . Tried atleast 1000 times. Transfer amount fails with an error message but transfers the amount. 
I mean in few words you guys are simply out of place. Please rollback to your last version. I am sick of this version. I started using other banks just because of your poor application performance",2,21/12/18 9:59
I am using mobile banking apps of India’s top 5 private banks. However this one in particular is the best one ever. Be it the User Interface or the app functionally (banking services) it is a sweet candy always. Plus the developers are constantly updating the app with bug fixes and new features. Recent update has also tweaked the basic app layout. It is more sleek and spacious. Highly recommended bank and mobile banking app. 👍🏻,5,22/05/21 5:07
"Some of the tabs On iOS app doesn't have a way to go back to the previous tab. Gestures don't work. There is a back arrow on top left side but it overlaps with the search box so touching it only takes back to search option. If the app is minimized partially, back arrow becomes visible fully but touching it does nothing. Only way to go back to the previous tab is to close the app and re login. This was a common issue on apps that were released couple of years ago when gesture navigation was catching up. Developer should realize that gesture navigation is the only way in most of the modern phones and update the app accordingly.",1,23/03/21 8:12
"Not able to go back to main menu in iphone X model after opening certain menu options. 
Please test this back feature after clicking all the menu options. 
And please deliver this updated feature as soon as possible. 
Currently the work around that i use is force close the app and login again as not able to go back to the home screen.",5,24/05/21 8:05
"Dear bank,

Please immediately fire this app’s developers and before that entire QA TEAM.

This application have too many bugs and making user experience so frustrating.

Please find below FEATURES your team introduced:

1. Wahiyaaat tab’s navigation while go to add billers.
2. Somehow if user figured out how to delete existing biller then as soon as you delete app shows toooooo many alerts with PLEASE SELECT BILLER TO DELET.
3. As soon as you hit My Bills tab app kicks you out. (Clapping)
4. While adding biller AUTO PAY always shows YES even user selected NO.
5. If you do little bit navigation in the app and then come back to home page, try to navigate on services or other options app always sending me to the previous page i was before home page.

We really don’t need these kinda features and these are very basic bugs which can be caught during story implementation by developers. 🤷‍♂️

And your QA team is GREAT whose passed story to done with bugs. 👏

Please Please Please have some sanity tasting and UAT ON Staging before pushing it to PRODUCTION. 🙏

If you need help I can help you.",1,01/10/19 16:59
"Well, the app has been very handy for basic purposes like checking balance, last transactions, check book issue, etc. but I have been facing a lot of trouble to pay for my credit cards with other banks. It used to be smooth until this new update. Just not letting my payment through and keeps throwing error that the transaction limit has reached. I had to resort to online banking. To my surprise I received no issues while paying via online banking. 
Vague errors in the app really makes it difficult in situations where all you have is the phone with no wallet/card handy or around.",2,07/03/19 9:19
"It’s been more than 20 days than I’m facing this issue. I tried all the ways, be it uninstalling the app and reinstalling it again or updating it over and over again. The moment I open my app app it abruptly stops. No matter how many times I change my permissions for international or merchant spending, it automatically turns them on. I’m not able to use it. And the protective measures I’m using to save my credit card from fraudulent transactions are turning on over and over again even if I’m trying to turn it off.
My iOS is updated but still facing this issue. Please help out.",2,21/12/21 5:42
"For a few minutes after opening the app I was actually worried that I’d download some kind of fake app that was trying to get my sensitive personal information because the UI of this app is SO BAD that I could not believe an actual legit bank has spent money on developing this. There are so many display issues and every time I try to open the credit card section it takes me into the loan section. Worst of all I literally have to wait 5 seconds after opening the app to log in. After using the Kotak and SBI apps, I’m left wondering how a bank with your repute can afford to have such a crappy clunky app. Please fire your iOS developer and get a real one.",1,05/10/20 18:56
"Generally we click on statement icon for respective account, it normally opens its default transaction list… it’s fine 
BUT 
When we click on more options — passbook options it shows default primary account statement & if we select another account to show statement.. it is loading but not opening anything (I have waited for minutes but nothing happens) we should close & reopen the app to use..

It’s been from 1 month I’m observing this issue I’m the only one whose getting this issue or is it any issue from application..",2,08/12/21 14:40
"I have a very good experience with my favourite bank bank and I always recommend this bank just because outstanding services but sometimes i have face an issue like every time i have to call customer care regarding credit limit enhancement and they do after placing a request. Except this everything is perfectly well with them 

Thanking you bank bank for making my experience wow and looking same and better experience in future",5,03/03/19 8:09
"I’ve been to few countries and used the mobile app of local banks. They are so easy with just the necessary features. I found it annoying with Indian banking apps, it’s so loaded with all finance related features and made me think is it necessary. Considering the competition and people expectations it is unavoidable otherwise you are left behind. That way bank app is good and gives seemeless experience. After couple of uses you know to where to go and what to click. login the most friendly and easy access.",4,16/12/19 9:44
Whenever I try to add payee it shows system error. In quick transfer also error. Whenever I need quick transfer app doesn’t work. What is the purpose of if it is not helpful in emergency. The bank is really great and my favorite but why they have worst quality app in apple iPhone 12 Pro 14.4 version with latest one. The app made think to change account in some other bank.,5,20/02/21 7:52
"Awful bank never ever used if you don’t want lose your temper, also to speake with customer care it take minimum 9 minutes to speake with care and never resolved your issue they will hold your money’its useless bank never do banking they are horrible for review if you don’t give five stars they will never ever give to go through review non sense bank if you would like to give service in this its better to stop your stupid services",5,05/06/19 5:35
"Used to work before. Nowadays it’s horrible. After the last update the bug where the login state kept resetting is fixed. But now, it doesn’t remember my UPI VPAs. So I cannot make any transactions using UPI because of this. To make a transaction I have to create a new VPA and it will show the older VPAs only after that. Since I’m a techie I’m guessing that the devs are setting a flag to retrieve VPAs after first VPA is set. Instead of doing this just do a select count in the VPA table to get count of VPAs stored and then show the appropriate UI based on whether the count is zero or more rather than using a flag variable! That would fix this bug. Hope that you fix this issue soon.",2,20/02/18 13:45
"Hi,
I have been using the bank app since a long time and totally satisfied with it.
After I downladed this app I rarely used netbankong this has made everything in control . I know where I m apending and manage my all things.
One issue I am recenlty facing is When on credit card tab I click on last 30 days the App crashes. Kindly check with it and rectify it , Its been one month this thing is happeneing.",5,01/03/20 10:11
"While the app is great to use for balance check, money transfer, FD and other investments.. it would be better if we could also use the app for making changes to your account details such as address change, name change, account closure etc.. if the app can avoid us going to the bank for anything it would essentially be the bank at our finger tips.",4,21/12/21 8:47
"I lost my regular handset which had app app and now using a temporary one until I buy a new one. 

I have a jio sim and this temporary handset (iPhone 5s) is a non-Volte handset for which I have to download “jio4g voice” app to be able to use jio sim. This jio4g voice app itself becomes default sms and voice calling app.  

Your app app while verifying my mobile no. sends pre-defined sms through iPhone’s SMS app which does not work when “jio4g voice” app is installed as it becomes default sms app resulting into verification failed status. So I am unable to install app app. 

Apple and Jio both prominent players in their fields, you should take this possibility into consideration and should have developed your app accordingly. This probably may be leaving hundreds of thousands of customers depriving them off installing app.",4,16/01/20 9:46
"I would have totally given 5-star rating few weeks ago. But recently I moved to iPhone 12 and started seeing bunch of issues -
1. Loan section of app doesn’t work. First time it shows some random credit card and personal loan static links. When I try 2nd/3rd time it shows my linked home loan account. Now when I open it, view is completely distorted, I can’t see anything clearly + links doesn’t work either.

2. Small but little annoying - top account summary card style is little messed up

3. It doesn’t let me submit the feedback once I logout from app.

I’m sure you guys are putting a lot of effort to enhance your digital presence. I would say bank mobile app is providing the experience at par with some of the international banks. Kudos to the team.

Looking forward to see these issues getting fixed and changing my rating to 5-star.",3,29/01/21 7:32
"It appears as if app team forgot or ignored about iPhone users. I have been facing activation issue since the past 3 months. Every time I try to login using app it asks for me for some activation , then goes to a resume activation page and gets stuck forever! If an error page was displayed at least, it would have been better! Not so good mobile app. In a comparison, I use Citibank mobile app too and it has never troubled me till now. Just a case if the app would like to consider.i would try for a few more times and will never again use app if the problem is not rectified!",2,21/05/18 10:37
"After latest version update, app asks for activation again. But it keeps on giving stupid  error message “no data connectivity “ at every alternate page whereas my phone settings are all well set to provide data network to this app. Finally after continuous clicking on the error message button, it did allow me to activate and use the app. After login, again connection issue at server side.
Unable to fetch payee list, unable to fetch mini statement and before i could try further it just logged me out.
Very disappointing service from bank. i loved being its customer from last 13 yrs but this time, hugely disappointed",1,03/01/18 12:43
I have only bank credit card. I am not using any other service from bank bank. Before I was able to use mobile app for credit card. After updating app and changing my new phone I am not able to use mobile app for only credit card. It is asking all the to activate and also asking debit card details for the activation. I don’t have saving account in the bank bank. So why this happen after updating app and changing my phone.,3,02/04/20 4:37
"Earlier version used to give an option to disable the credit card on real time basis now the new version 5.0 is not giving the option to disable the credit card, when i logout app and login again it automatically activate the credit card for online transactions which is not good.",5,06/01/20 6:55
"Hello, i did activated my app app with touch id. So, I couldn’t make a sucessful transaction because it was asking me to put a pin, wherein I never set my pin for an app. So while doing a transaction, It should ask for finger print verification. But instead asking for a pin. I guess thats a bug. I had to uninstall the app and reinstall it amd registered again with pin, then only i was able to make transaction. I hope, you get it sorted as soon as possible. And yeah also give me a bug bounty for that, you should be having my account number for the bounty amount. :-)",3,30/10/18 15:23
"I have been a bank account holder almost all my life, long before computerisation of banks.  After arrival of smart phone too I have used this app on and off.  When I run into problems with app I would just uninstall and reinstall it later.  This time however the installation process itself came unstuck in the sense it remained hung in the 2d of 3 steps; I am not able to either install or undo the two steps I have taken.  Nor can I start to download fresh from the Apple stores.  I tried to seek online help from bank and wrote to them: no response. So what do I do?: I simply quit on it in exasperation and disgust!  That’s my experience.  It doesn’t deserve even  1 star—that’s how bad it’s is!!!",1,06/06/18 12:06
"Hi Team,

I have activated the app on my iPhone7 using my credit card and a PIN was also set. At first login everything works fine, I can view my transactions, check my balance in CC and card details as well. As soon as I logout and try to login again with my PIN, the app is navigating me to a debit card screen and asking me to enter the digits back of my card. I do not hold any Savings Bank account/Debit Card from bank. The only service I'm using from bank is a Credit Card service. So please tell me how can I pass this screen with my CC. If you can redirect my account to a Credit Card then it would be great. Thanks",1,04/03/20 7:27
"Customer since 2016, was disappointed earlier with slow response but seems like the issue is fixed now. I don’t need to really bother now to login with my credentials rather I can use my finger touch to login. Nice App. My rating would be 5 star. I would like to give a feedback on payback offers such as pockets, kindly add more cash back offers to attract customers. Payzapp is one app from HDFC which was very good with many cash back offers.",5,10/11/18 11:09
"Fetching bill is a great feature bank app has added, but for an example when I want to pay the electricity bill as soon as I get one, there is a always a discount given by the electricity provider. This discount is never fetched by this app. Thus, there should be a provision to enter the amount manually as well if the payer thinks the fetched amount is incorrect.",5,09/11/20 16:51
On my 1st download if this app it’s working well with my credit card but now I press the forget password button and reset it. Then my app is not at all working. It’s doesn’t shows my credit card it works like any other wallet app for UPI payments. My login credentials are working only on web bit app is not working. I don’t have bank account There is no direct app or link to connect with my credit card. After lot of struggle I succeeded. The main issue app verification is always done with my 2ndSIM  card even my default line is set to Primary SIM. There is no option  to change the sms activation SIM selection.,1,13/12/21 18:47
"Hi team,
I am using this app since more than 5 years and always show a great improvement in new updates.

I am giving this app 4 star because some functionalities like assigned relationship manager details are not visible or not sync into app, doesn’t see address update options for credit card section, doesn’t see ipo invest option in app etc. and due to this issues... if issues resolved would be happy to give 5 star...",4,22/01/21 1:41
